,Symbol,Company Name
287,NUVOCO,Nuvoco Vistas Corporation Limited
288,BAJAJELEC,Bajaj Electricals Limited
289,APTUS,Aptus Value Housing Finance India Limited
290,SUVENPHAR,Suven Pharmaceuticals Limited
291,ASTERDM,Aster DM Healthcare Limited
292,RHIM,RHI MAGNESITA INDIA LIMITED
293,KEC,KEC International Limited
294,SONATSOFTW,Sonata Software Limited
295,AETHER,Aether Industries Limited
296,DCMSHRIRAM,DCM Shriram Limited
297,IEX,Indian Energy Exchange Limited
298,HAPPSTMNDS,Happiest Minds Technologies Limited
299,KIMS,Krishna Institute of Medical Sciences Limited
300,ALKYLAMINE,Alkyl Amines Chemicals Limited
301,CYIENT,Cyient Limited
302,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
303,ASAHIINDIA,Asahi India Glass Limited
304,CASTROLIND,Castrol India Limited
305,BRIGADE,Brigade Enterprises Limited
306,KALYANKJIL,Kalyan Jewellers India Limited
307,TTML,Tata Teleservices (Maharashtra) Limited
308,VGUARD,V-Guard Industries Limited
309,NLCINDIA,NLC India Limited
310,LAXMIMACH,Lakshmi Machine Works Limited
311,TRITURBINE,Triveni Turbine Limited
312,FINPIPE,Finolex Industries Limited
313,AKZOINDIA,Akzo Nobel India Limited
314,MANAPPURAM,Manappuram Finance Limited
315,EIHOTEL,EIH Limited
316,CENTURYPLY,Century Plyboards (India) Limited
317,NATCOPHARM,Natco Pharma Limited
318,KIOCL,KIOCL Limited
319,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
320,CAMPUS,Campus Activewear Limited
321,CAMS,Computer Age Management Services Limited
322,AMARAJABAT,Amara Raja Batteries Limited
323,ZYDUSWELL,Zydus Wellness Limited
324,BASF,BASF India Limited
325,TEJASNET,Tejas Networks Limited
326,APLLTD,Alembic Pharmaceuticals Limited
327,MGL,Mahanagar Gas Limited
328,GRINFRA,G R Infraprojects Limited
329,ANGELONE,Angel One Limited
330,SFL,Sheela Foam Limited
331,TTKPRESTIG,TTK Prestige Limited
332,APARINDS,Apar Industries Limited
333,HINDCOPPER,Hindustan Copper Limited
334,CDSL,Central Depository Services (India) Limited
335,GODFRYPHLP,Godfrey Phillips India Limited
336,RENUKA,Shree Renuka Sugars Limited
337,CUB,City Union Bank Limited
338,JKLAKSHMI,JK Lakshmi Cement Limited
339,ANURAS,Anupam Rasayan India Limited
340,MRPL,Mangalore Refinery and Petrochemicals Limited
341,GESHIP,The Great Eastern Shipping Company Limited
342,POLYMED,Poly Medicure Limited
343,NSLNISP,NMDC Steel Limited
344,BIKAJI,Bikaji Foods International Limited
345,MOTILALOFS,Motilal Oswal Financial Services Limited
346,ABSLAMC,Aditya Birla Sun Life AMC Limited
347,CESC,CESC Limited
348,TATAINVEST,Tata Investment Corporation Limited
349,ALLCARGO,Allcargo Logistics Limited
350,KALPATPOWR,Kalpataru Power Transmission Limited
351,PNBHOUSING,PNB Housing Finance Limited
352,HUDCO,Housing & Urban Development Corporation Limited
353,ITI,ITI Limited
354,ROUTE,ROUTE MOBILE LIMITED
355,RITES,RITES Limited
356,VTL,Vardhman Textiles Limited
357,RBLBANK,RBL Bank Limited
358,HFCL,HFCL Limited
359,KARURVYSYA,Karur Vysya Bank Limited
360,CERA,Cera Sanitaryware Limited
361,EIDPARRY,EID Parry India Limited
362,INGERRAND,Ingersoll Rand (India) Limited
363,GALAXYSURF,Galaxy Surfactants Limited
364,PPLPHARMA,Piramal Pharma Limited
365,UTIAMC,UTI Asset Management Company Limited
366,KRBL,KRBL Limited
367,RAYMOND,Raymond Limited
368,ASTRAZEN,AstraZeneca Pharma India Limited
369,VIPIND,VIP Industries Limited
370,ACI,Archean Chemical Industries Limited
371,BALRAMCHIN,Balrampur Chini Mills Limited
372,SUZLON,Suzlon Energy Limited
373,GODREJAGRO,Godrej Agrovet Limited
374,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
375,ERIS,Eris Lifesciences Limited
376,PGHL,Procter & Gamble Health Limited
377,MEDPLUS,Medplus Health Services Limited
378,SAPPHIRE,Sapphire Foods India Limited
379,DATAPATTNS,Data Patterns (India) Limited
380,SUNCLAYLTD,Sundaram Clayton Limited
381,JBMA,JBM Auto Limited
382,EASEMYTRIP,Easy Trip Planners Limited
383,CCL,CCL Products (India) Limited
384,EQUITASBNK,Equitas Small Finance Bank Limited
385,CHALET,Chalet Hotels Limited
386,RAINBOW,Rainbow Childrens Medicare Limited
387,PNCINFRA,PNC Infratech Limited
388,FSL,Firstsource Solutions Limited
389,KSB,Ksb Limited
390,BSOFT,BIRLASOFT LIMITED
391,KNRCON,KNR Constructions Limited
392,SHOPERSTOP,Shoppers Stop Limited
393,SYMPHONY,Symphony Limited
394,CENTURYTEX,Century Textiles & Industries Limited
395,CANFINHOME,Can Fin Homes Limited
396,GRANULES,Granules India Limited
397,TANLA,Tanla Platforms Limited
398,JYOTHYLAB,Jyothy Labs Limited
399,SPLPETRO,Supreme Petrochem Limited
400,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
401,CRAFTSMAN,Craftsman Automation Limited
402,BIRLACORPN,Birla Corporation Limited
403,BLS,BLS International Services Limited
404,SHYAMMETL,Shyam Metalics and Energy Limited
405,NCC,NCC Limited
406,GMMPFAUDLR,GMM Pfaudler Limited
407,LATENTVIEW,Latent View Analytics Limited
408,USHAMART,Usha Martin Limited
409,HOMEFIRST,Home First Finance Company India Limited
410,JKPAPER,JK Paper Limited
411,TMB,Tamilnad Mercantile Bank Limited
412,JINDWORLD,Jindal Worldwide Limited
413,METROPOLIS,Metropolis Healthcare Limited
414,SAREGAMA,Saregama India Limited
415,NBCC,NBCC (India) Limited
416,ECLERX,eClerx Services Limited
417,BALAMINES,Balaji Amines Limited
418,WELSPUNIND,Welspun India Limited
419,PRAJIND,Praj Industries Limited
420,COCHINSHIP,Cochin Shipyard Limited
421,ZENSARTECH,Zensar Technologies Limited
422,AMBER,Amber Enterprises India Limited
423,LEMONTREE,Lemon Tree Hotels Limited
424,PRINCEPIPE,Prince Pipes And Fittings Limited
425,TRIVENI,Triveni Engineering & Industries Limited
426,GARFIBRES,Garware Technical Fibres Limited
427,LXCHEM,Laxmi Organic Industries Limited
428,STLTECH,Sterlite Technologies Limited
429,CEATLTD,CEAT Limited
430,BSE,BSE Limited
431,SPARC,Sun Pharma Advanced Research Company Limited
432,ALOKINDS,Alok Industries Limited
433,ORIENTELEC,Orient Electric Limited
434,INDIACEM,The India Cements Limited
435,JUBLINGREA,Jubilant Ingrevia Limited
436,KIRLOSENG,Kirloskar Oil Engines Limited
437,TCIEXP,TCI Express Limited
438,JMFINANCIL,JM Financial Limited
439,NETWORK18,Network18 Media & Investments Limited
440,BBTC,Bombay Burmah Trading Corporation Limited
441,SWANENERGY,Swan Energy Limited
442,GPPL,Gujarat Pipavav Port Limited
443,KAYNES,Kaynes Technology India Limited
444,VRLLOG,VRL Logistics Limited
445,INTELLECT,Intellect Design Arena Limited
446,SWSOLAR,Sterling and Wilson Renewable Energy Limited
447,CHEMPLASTS,Chemplast Sanmar Limited
448,QUESS,Quess Corp Limited
449,ROLEXRINGS,Rolex Rings Limited
450,MAHLIFE,Mahindra Lifespace Developers Limited
451,ESABINDIA,Esab India Limited
452,MHRIL,Mahindra Holidays & Resorts India Limited
453,GOCOLORS,Go Fashion (India) Limited
454,HGS,Hinduja Global Solutions Limited
455,BORORENEW,BOROSIL RENEWABLES LIMITED
456,GAEL,Gujarat Ambuja Exports Limited
457,MAPMYINDIA,C.E. Info Systems Limited
458,PRSMJOHNSN,Prism Johnson Limited
459,RUSTOMJEE,Keystone Realtors Limited
460,IRCON,Ircon International Limited
461,RCF,Rashtriya Chemicals and Fertilizers Limited
462,WELCORP,Welspun Corp Limited
463,BEML,BEML Limited
464,GRSE,Garden Reach Shipbuilders & Engineers Limited
465,EPL,EPL Limited
466,MINDACORP,Minda Corporation Limited
467,GRAPHITE,Graphite India Limited
468,HGINFRA,H.G. Infra Engineering Limited
469,OLECTRA,Olectra Greentech Limited
470,RELINFRA,Reliance Infrastructure Limited
471,JUSTDIAL,Just Dial Limited
472,RAIN,Rain Industries Limited
473,IONEXCHANG,ION Exchange (India) Limited
474,EDELWEISS,Edelweiss Financial Services Limited
475,UJJIVANSFB,Ujjivan Small Finance Bank Limited
476,TV18BRDCST,TV18 Broadcast Limited
477,GPIL,Godawari Power And Ispat limited
478,MTARTECH,Mtar Technologies Limited
479,TCI,Transport Corporation of India Limited
480,RTNINDIA,RattanIndia Enterprises Limited
481,VSTIND,VST Industries Limited
482,SAFARI,Safari Industries (India) Limited
483,ACE,Action Construction Equipment Limited
484,MAHSCOOTER,Maharashtra Scooters Limited
485,DELTACORP,Delta Corp Limited
486,GLS,Glenmark Life Sciences Limited
487,GHCL,GHCL Limited
488,INDIGOPNTS,Indigo Paints Limited
489,MAHSEAMLES,Maharashtra Seamless Limited
490,SUPRAJIT,Suprajit Engineering Limited
491,KFINTECH,Kfin Technologies Limited
